surface,path,exists,row_count,column_count,hunt_code_count,duplicate_key_count,required_fields_present,field_nonblank_counts
harvest_truth_normalized,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_truth\harvest_results_truth\normalized\harvest_results_all_years_long.csv,True,68657,35,1424,58254,True,"{""hunt_code"": 68657, ""model_target_year"": 68657, ""percent_success"": 58007, ""reported_hunt_year"": 68657, ""source_file"": 68657}"
harvest_all_years_features,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_model\harvest_quality\harvest_quality_features_all_years_by_hunt_code.csv,True,5563,35,1561,0,True,"{""hunt_code"": 5563, ""model_target_year"": 5563, ""percent_success"": 4146, ""recommended_use"": 6, ""reported_hunt_year"": 5563}"
harvest_feature_model_by_hunt_code_2026,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\data_model\harvest_quality\harvest_feature_model_by_hunt_code_2026.csv,True,1411,30,1411,0,True,"{""average_age_3yr_avg"": 0, ""average_age_recent"": 0, ""demand_pressure_category"": 1411, ""demand_pressure_signal"": 1404, ""harvest_feature_data_quality_grade"": 1411, ""harvest_feature_match_method"": 1411, ""harvest_feature_reason_codes"": 1411, ""harvest_feature_source_years"": 1410, ""harvest_quality_index"": 1384, ""harvest_recent"": 1405, ""harvest_success_3yr_avg"": 1404, ""harvest_success_recent"": 1404, ""hunter_effort_days_recent"": 1280, ""hunter_satisfaction_recent"": 1277, ""hunters_afield_recent"": 1303, ""point_creep_quality_adjustment"": 1411}"
ml_draw_predictions_v1,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\processed_data\ml_draw_predictions_v1.csv,True,27940,180,1065,0,True,"{""demand_pressure_category"": 27820, ""demand_pressure_signal"": 27818, ""harvest_feature_match_method"": 27820, ""harvest_feature_reason_codes"": 27820, ""harvest_feature_source_years"": 27820, ""harvest_quality_index"": 27590, ""p_harvest_adjusted"": 22719, ""point_creep_quality_adjustment"": 27820}"
draw_reality_engine_predictive_v2,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\processed_data\draw_reality_engine_predictive_v2.csv,True,26389,173,864,0,True,"{""demand_pressure_category"": 26307, ""demand_pressure_signal"": 26303, ""harvest_feature_match_method"": 26307, ""harvest_feature_reason_codes"": 26307, ""harvest_feature_source_years"": 26305, ""harvest_quality_index"": 26075, ""p_harvest_adjusted"": 21375, ""point_creep_quality_adjustment"": 26307}"
point_ladder_view,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\processed_data\point_ladder_view.csv,True,91712,160,1449,0,True,"{""demand_pressure_category"": 91602, ""demand_pressure_signal"": 91140, ""harvest_feature_match_method"": 91602, ""harvest_feature_reason_codes"": 91602, ""harvest_feature_source_years"": 91536, ""harvest_quality_index"": 89820, ""p_harvest_adjusted"": 25719, ""point_creep_quality_adjustment"": 91602}"
hunt_unit_reference_linked,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\processed_data\hunt_unit_reference_linked.csv,True,2997,89,1471,0,True,"{""harvest_2025"": 2220, ""harvest_average_days_2025"": 2218, ""harvest_hunters_2025"": 2228, ""harvest_satisfaction_2025"": 2218, ""harvest_success_percent_2025"": 2218}"
hunt_research_2026_summary,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\processed_data\hunt_research_2026_summary.json,True,3011,,1471,0,True,"{""average_days_hunted"": 2294, ""average_harvest_age"": 1114, ""current_age_3yr_average"": 440, ""harvest_success_pct"": 2294}"
hunt_research_2026_split_index,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\processed_data\hunt_research_2026_split\hunt_research_2026.index.json,True,1471,,1471,0,True,"{""average_harvest_age"": 557, ""current_age_3yr_average"": 220}"
hunt_research_2026_split_details,C:\Users\tyler\Desktop\GitHub\HUNT-BUILDER\processed_data\hunt_research_2026_split\hunt_research_2026.details.json,True,1471,,1471,0,True,"{""average_harvest_age"": 319, ""current_age_3yr_average"": 220, ""harvest"": 1084, ""has_harvest"": 1428, ""percent_success"": 1111}"
